fixture,opponent_team,total_points,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
32,19,2,0,1,4,77,0,0,0,1,0,0,0,0,0,0,0,2,0,1.8,6,0.6,69,-35545,177396,10944,46489
41,1,1,2,1,5,7,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,2,0.2,69,-31233,150158,4285,35518
51,13,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,-32114,120463,2332,34446
2,3,1,2,0,1,90,0,0,0,2,0,0,0,0,0,1,0,10,9.2,0,0,0.9,50,0,476293,0,0
12,8,3,2,1,2,90,0,0,0,1,0,0,0,0,0,4,0,16,34.6,0,0,3.5,50,-28615,505383,21425,50040
22,7,10,3,1,3,90,0,0,0,3,0,1,0,0,0,6,2,36,71.8,0,0,7.2,50,-44086,484689,18320,62406
32,19,2,0,1,4,90,0,0,0,1,0,0,0,0,0,1,0,13,8.8,0,0,0.9,50,5587,524501,42458,36871
41,1,3,2,1,5,90,0,0,0,2,0,0,0,0,0,6,0,18,34.4,0,0,3.4,50,-53369,477967,9246,62615
51,13,3,1,1,6,90,0,0,0,1,0,0,0,0,0,3,0,16,27.6,0,0,2.8,49,-35883,453493,11373,47256
2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,23881,0,0
12,8,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,1,45,-2659,25480,1228,3887
22,7,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1712,25615,1509,3221
32,19,2,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,20,0.6,0,2.1,44,-2730,23895,645,3375
41,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1250,23186,505,1755
51,13,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1458,22124,490,1948
2,3,1,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,11,13.2,22.4,8,4.4,50,0,342130,0,0
12,8,-1,2,1,2,90,0,0,0,1,1,0,0,1,0,0,0,-1,6.8,15.5,6,2.8,50,-13477,368642,27497,40974
22,7,1,3,1,3,90,0,0,0,3,0,0,0,0,0,0,0,16,17.8,34.3,18,7,49,-74018,302421,15762,89780
32,19,2,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,14,19.6,39.1,6,6.5,48,-57466,251926,6485,63951
41,1,1,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,9,17.2,5.6,0,2.3,48,-34597,220657,3966,38563
51,13,1,1,1,6,90,0,0,0,1,0,0,0,1,0,0,0,6,15.6,1.7,0,1.7,47,-23237,200480,4696,27933
2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,16145,0,0
12,8,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2117,18277,1383,3500
22,7,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2607,17031,1539,4146
32,19,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-5289,11995,214,5503
41,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2414,9680,0,2414
51,13,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-1532,8209,0,1532
2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,159116,0,0
12,8,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1046,178775,6091,7137
22,7,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-3326,182301,6710,10036
32,19,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-4606,181585,4308,8914
41,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-4500,179422,2805,7305
51,13,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-4711,177082,3551,8262
2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,24272,0,0
12,8,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,151,30978,4049,3898
22,7,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-646,33336,5533,6179
