Likes,Comments,Views
65182,4679,9897790
104645,7091,3455728
35432,528,832026
103946,4516,3779069
41293,1941,1194593
26530,818,602137
85704,4481,8639567
310947,15981,14800155
83509,5086,2954971
45821,2121,2359653
5000,293,252524
46953,1690,1743151
65238,2121,5323008
621,44,55643
16576,787,452937
31665,1649,1045672
26731,1303,1251200
74180,7794,7556654
18852,750,767162
15317,613,319489
29562,2363,595608
62343,4145,6225136
18353,2560,7073338
23783,1290,513747
74324,6294,7428280
29581,1264,1097006
96215,6430,9552698
1519,124,90926
17977,564,383734
116596,43591,11792862
132214,5981,17716356
47947,3075,5054426
43511,1773,747705
48317,3805,4613023
13733,626,489332
132562,6384,4418714
44755,3214,1152562
28907,2438,2767666
42848,1350,1778635
68035,5549,7209027
152531,3469,3270832
44412,1210,1346386
12527,414,787667
29773,3299,880432
126685,4633,2817851
22310,1177,1071023
237869,19276,8445210
236557,5640,4696990
19509,1072,928585
3379,1381,132960
49795,2177,2796778
95001,7668,6312772
40750,3577,1235556
10959,525,844015
6813,69,485266
281680,11360,9033159
18403,1810,1429951
62098,6272,2889074
296448,29736,19097087
191691,5795,3182375
35004,2726,952869
673896,41869,14835017
32717,1804,930267
20329,806,1331141
122180,1942,8705503
2012,143,72517
12994,521,234454
1346,198,106305
7355,711,278584
25394,2940,761574
21123,560,745050
26210,856,1875721
1194852,16417,42252029
188472,5901,13829574
11961,334,495065
11420,896,596902
10960,109,858731
31942,7562,1089328
66353,2001,1546801
7687,237,451843
9154,1201,652244
11249,393,482269
20361,770,1539948
12193,196,1267276
27575,971,1761493
962,100,30388
139552,7764,4235793
159719,4673,2029047
26902,1190,1248957
55719,1606,802372
131961,3037,4849924
202969,3572,4801805
186881,8575,7004107
10317,757,165623
128268,4356,4991078
62009,1740,3134189
24508,1455,374241
6806,774,215489
42940,1735,1407319
13004,376,318419
8864,326,351985
63890,2427,1732512
2143,77,198844
10846,380,759857
11672,1285,302924
33558,814,950825
752,53,16115
47204,1277,2302755
61813,3416,6091315
4557,379,97136
1514,251,37830
2596,177,56994
7452,581,113080
59163,1583,1754969
62172,1458,1345420
11911,1388,610308
16747,1532,525081
28944,775,1515048
4849,197,82596
13406,314,362229
1149,146,17156
27889,962,437660
10409,385,199395
10292,653,327463
5213,145,135056
909,32,24612
30095,1186,1530735
37041,1190,1672442
61424,692,872859
6557,215,179728
7812,408,143959
32,5,83073
32189,878,1750656
11395,542,282641
22667,588,939411
4440,307,95826
40994,3946,1115596
33773,4225,655844
5333,883,87181
93512,11770,2467290
4996,791,86658
93420,11201,2745019
2677,390,51017
88302,10753,2173854
959,87,9269
27953,6430,848504
3465,317,59232
2208,837,37340
7455,160,71578
697,120,17418
59959,5338,1310018
406,57,13184
1897,349,36948
7166,897,156610
4122,567,112040
54951,6290,5370346
760,80,11630
3769,590,180396
8058,662,566503
119930,11926,3432799
92823,5623,8295441
2104,481,46065
20892,976,640120
79878,3067,2750006
565673,35186,31667627
350411,15822,6058858
2179,324,55298
7785,331,621651
43557,4766,514758
3016,573,56101
2118,245,35759
221,35,2225
89783,7013,2610708
77209,8351,1700683
5437,1020,109574
814,85,12274
4936,750,208877
