followers_count,following_count,tweet_like_count,tweet_retweet_count,tweet_reply_count
2087,2435,42,15,1
1035,1269,0,0,0
117,249,0,0,0
247,1042,0,0,0
1,19,0,0,0
114,62,1,1,0
1333,618,11,0,1
36,487,0,0,0
14,298,0,0,0
70,264,0,0,0
120,174,2,0,0
65,267,0,0,0
364,341,1,0,0
1053,2564,0,0,0
205,400,39,0,2
2344,273,9,0,1
1,21,0,0,0
185,289,0,0,0
638,258,3,0,1
49,110,1,0,1
598,996,7,0,0
481,273,0,0,0
250,231,3,0,0
29,99,2,0,1
387,390,0,0,0
5833,1239,67,16,1
3,64,0,0,0
49,110,2,0,0
354,1739,4,0,0
46,246,0,0,0
367,971,1,0,0
938,713,40,8,2
38,91,0,0,0
2824,5001,0,1,0
714,1352,1,0,0
1182,411,0,0,0
689,310,0,0,1
217,243,1,0,1
318,591,3,0,1
3255,410,19,2,1
151,667,2,1,0
22,61,1,0,1
303,245,1,0,0
744,439,1,0,1
7939,763,0,0,1
320,1700,0,0,1
949,3167,0,0,0
801,2433,1,0,1
152,347,1,0,0
875,775,10,3,0
67,111,1,0,1
9,30,0,0,0
831,588,5,0,2
5742,931,12,0,1
505,635,0,0,0
2719,1390,0,0,1
8,26,2,0,0
1594,1937,0,0,0
297,592,2,0,0
728,532,1,0,1
43,98,0,0,0
2250,1161,4,1,1
423,1607,1,0,0
1548,532,1,0,0
512,250,0,0,0
519,1526,0,0,0
39,97,0,0,0
128,193,0,0,0
85,330,2,0,0
238,249,0,0,0
53,59,0,1,0
547,199,0,0,0
932,812,1,0,0
194,356,0,0,0
817,1746,0,0,0
265,1621,2,0,0
1,20,0,0,0
1757,395,3,0,0
60,271,0,0,0
272,421,1,0,0
273,291,0,0,0
1174,280,3,1,0
1370,1374,3,0,0
5087,1428,1,0,1
3,7,0,0,1
122,298,0,0,0
1075,2736,0,0,0
154,324,0,0,1
181,360,1,0,0
380,1723,0,0,0
252,375,0,0,1
758,568,5,2,1
549,3020,0,0,1
148,179,0,0,0
2697,1808,1,0,2
179,299,0,0,0
862,357,5,0,0
630,1256,0,0,0
1472,1612,1,0,0
17106,15168,2,0,0
98,83,1,1,0
97,122,0,0,1
516,2151,0,0,1
22449,645,12,0,3
107,179,0,0,0
300,455,0,0,1
